manufacturer,model,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage_int,mileage,engine_cc,max_power_bhp,torque,seats
Maruti,Swift Dzire,Maruti Swift Dzire,2014,450000,145500,Diesel,Individual,Manual,First Owner,23,23.4 kmpl,1248,74,190Nm@ 2000rpm,5
Skoda,Rapid,Skoda Rapid,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21,21.14 kmpl,1498,104,250Nm@ 1500-2500rpm,5
Hyundai,i20 Sportz,Hyundai i20 Sportz,2010,225000,127000,Diesel,Individual,Manual,First Owner,23,23.0 kmpl,1396,90,22.4 kgm at 1750-2750rpm,5
Hyundai,Xcent,Hyundai Xcent,2017,440000,45000,Petrol,Individual,Manual,First Owner,20,20.14 kmpl,1197,82,113.75nm@ 4000rpm,5
Toyota,Etios,Toyota Etios,2011,350000,90000,Diesel,Individual,Manual,First Owner,24,23.59 kmpl,1364,67,170Nm@ 1800-2400rpm,5
Ford,Figo,Ford Figo,2013,200000,169000,Diesel,Individual,Manual,First Owner,20,20.0 kmpl,1399,68,160Nm@ 2000rpm,5
Renault,Duster,Renault Duster,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19,19.01 kmpl,1461,108,248Nm@ 2250rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19,19.3 kmpl,1248,74,190Nm@ 2000rpm,5
Maruti,Wagon R,Maruti Wagon R,2009,180000,90000,Petrol,Individual,Manual,Second Owner,19,18.9 kmpl,1061,67,84Nm@ 3500rpm,5
Mahindra,KUV 100,Mahindra KUV 100,2016,400000,40000,Petrol,Individual,Manual,First Owner,18,18.15 kmpl,1198,82,115Nm@ 3500-3600rpm,5
Maruti,Ertiga,Maruti Ertiga,2016,778000,70000,Diesel,Individual,Manual,Second Owner,25,24.52 kmpl,1248,89,200Nm@ 1750rpm,7
Hyundai,i20,Hyundai i20,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23,23.0 kmpl,1396,90,22.4 kgm at 1750-2750rpm,5
Hyundai,i20,Hyundai i20,2016,680000,100000,Diesel,Individual,Manual,First Owner,23,22.54 kmpl,1396,89,219.7Nm@ 1500-2750rpm,5
Mahindra,Verito,Mahindra Verito,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21,21.0 kmpl,1461,64,160Nm@ 2000rpm,5
Honda,Mobilio,Honda Mobilio,2017,950000,50000,Diesel,Individual,Manual,First Owner,26,25.5 kmpl,1498,99,200Nm@ 1750rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2015,525000,40000,Diesel,Individual,Manual,First Owner,27,26.59 kmpl,1248,74,190Nm@ 2000rpm,5
Maruti,SX4,Maruti SX4,2012,600000,72000,Diesel,Individual,Manual,First Owner,22,21.5 kmpl,1248,89,200Nm@ 1750rpm,5
Tata,Tigor,Tata Tigor,2018,500000,35000,Petrol,Individual,Manual,First Owner,20,20.3 kmpl,1199,84,114Nm@ 3500rpm,5
Maruti,Beno,Maruti Beno,2016,575000,45000,Petrol,Individual,Manual,First Owner,21,21.4 kmpl,1197,83,115Nm@ 4000rpm,5
Maruti,Alto 800,Maruti Alto 800,2017,275000,28000,Petrol,Individual,Manual,First Owner,25,24.7 kmpl,796,47,69Nm@ 3500rpm,5
