name,manufacturer,model,year,km_driven,fuel,transmission,owner,mileage_int,cmp,selling_price
Maruti Swift Dzire,Maruti,Swift Dzire,2014,145500,Diesel,Manual,First Owner,23,690000,450000
Skoda Rapid,Skoda,Rapid,2014,120000,Diesel,Manual,Second Owner,21,156000,370000
Hyundai i20 Sportz,Hyundai,i20 Sportz,2010,127000,Diesel,Manual,First Owner,23,780000,225000
Hyundai Xcent,Hyundai,Xcent,2017,45000,Petrol,Manual,First Owner,20,685000,440000
Toyota Etios,Toyota,Etios,2011,90000,Diesel,Manual,First Owner,24,869000,350000
Ford Figo,Ford,Figo,2013,169000,Diesel,Manual,First Owner,20,690000,200000
Renault Duster,Renault,Duster,2014,68000,Diesel,Manual,Second Owner,19,101900,500000
Maruti Swift Dzire,Maruti,Swift Dzire,2009,140000,Diesel,Manual,Second Owner,19,690000,280000
Maruti Wagon R,Maruti,Wagon R,2009,90000,Petrol,Manual,Second Owner,19,690000,180000
Mahindra KUV 100,Mahindra,KUV 100,2016,40000,Petrol,Manual,First Owner,18,615000,400000
Maruti Ertiga,Maruti,Ertiga,2016,70000,Diesel,Manual,Second Owner,25,969000,778000
Hyundai i20,Hyundai,i20,2012,53000,Diesel,Manual,Second Owner,23,698000,500000
Hyundai i20,Hyundai,i20,2016,100000,Diesel,Manual,First Owner,23,698000,680000
Mahindra Verito,Mahindra,Verito,2011,100000,Diesel,Manual,Second Owner,21,101500,174000
Honda Mobilio,Honda,Mobilio,2017,50000,Diesel,Manual,First Owner,26,729000,950000
Maruti Swift Dzire,Maruti,Swift Dzire,2015,40000,Diesel,Manual,First Owner,27,690000,525000
Maruti SX4,Maruti,SX4,2012,72000,Diesel,Manual,First Owner,22,867000,600000
Tata Tigor,Tata,Tigor,2018,35000,Petrol,Manual,First Owner,20,582000,500000
Maruti Beno,Maruti,Beno,2016,45000,Petrol,Manual,First Owner,21,949000,575000
Maruti Alto 800,Maruti,Alto 800,2017,28000,Petrol,Manual,First Owner,25,503000,275000
Chevrolet Enjoy,Chevrolet,Enjoy,2013,70000,Diesel,Manual,First Owner,18,766000,300000
Maruti Wagon R,Maruti,Wagon R,2009,120000,Petrol,Manual,First Owner,19,690000,220000
Maruti Omni,Maruti,Omni,2018,25000,Petrol,Manual,First Owner,17,261000,254999
Maruti Vitara Brezza,Maruti,Vitara Brezza,2017,70000,Diesel,Manual,First Owner,24,784000,670000
Maruti Omni,Maruti,Omni,2012,35000,Petrol,Manual,Second Owner,14,261000,150000
Hyundai i20,Hyundai,i20,2018,2388,Petrol,Manual,First Owner,19,698000,730000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2017,16200,Diesel,Manual,First Owner,24,784000,650000
Maruti Alto 800,Maruti,Alto 800,2019,10000,CNG,Manual,Second Owner,33,503000,330000
Maruti Alto 800,Maruti,Alto 800,2019,15000,Petrol,Manual,First Owner,24,503000,366000
Hyundai Verna,Hyundai,Verna,2019,5000,Petrol,Manual,First Owner,17,932000,1149000
Datsun GO,Datsun,GO,2016,42000,Petrol,Manual,First Owner,21,412000,150000
Tata Safari,Tata,Safari,2011,60000,Diesel,Manual,Second Owner,14,152000,425000
